#t	x1	x2	abserr	h	yscale
4.8484262686e+00	-1.2243983651e-03	1.1020627093e-02	6.8471853750e-13	3.2724622195e-02	1.1797970549e-02
4.8811508907e+00	-7.9646457811e-04	1.0701845686e-02	6.6505220461e-13	3.2839280505e-02	1.1461412687e-02
4.9139901713e+00	-3.9243011814e-04	1.0377335829e-02	6.4499002758e-13	3.2956016519e-02	1.1118490912e-02
4.9469461878e+00	-1.1859445140e-05	1.0048084154e-02	6.2459465557e-13	3.3075227324e-02	1.0770263930e-02
4.9800214151e+00	3.4570945823e-04	9.7150352261e-03	6.0392594907e-13	3.3197345801e-02	1.0417746039e-02
5.0132187609e+00	6.8076243989e-04	9.3790912614e-03	5.8304100925e-13	3.3322847778e-02	1.0061906794e-02
5.0465416087e+00	9.9380659863e-04	9.0411119589e-03	5.6199409170e-13	3.3461332570e-02	9.7168347842e-03
5.0800029412e+00	1.2854438235e-03	8.7018225300e-03	5.4157666770e-13	3.3612419156e-02	9.3805886053e-03
5.1136153604e+00	1.5562612610e-03	8.3619168174e-03	5.2165988264e-13	3.3769199180e-02	9.0423194770e-03
5.1473845596e+00	1.8067869103e-03	8.0221253248e-03	5.0163285348e-13	3.3932568153e-02	8.7026850480e-03
5.1813171277e+00	2.0375621070e-03	7.6831370831e-03	4.8154310427e-13	3.4103503130e-02	8.3624576613e-03
5.2154206309e+00	2.2491387815e-03	7.3456000415e-03	4.6143155886e-13	3.4283137256e-02	8.0223678679e-03
5.2497037681e+00	2.4420771460e-03	7.0101209881e-03	4.4698909160e-13	3.4385159162e-02	7.6831052932e-03
5.2840889273e+00	2.6165224618e-03	6.6781054486e-03	4.5455717489e-13	3.4063392228e-02	7.3444664600e-03
5.3181523195e+00	2.7713160035e-03	6.3541435081e-03	4.3335153426e-13	3.3747312412e-02	7.0046150748e-03
5.3518996319e+00	2.9077695439e-03	6.0385237248e-03	4.1226750835e-13	3.3442869112e-02	6.6724948485e-03
5.3853425010e+00	3.0271463053e-03	5.7314150201e-03	3.9182583011e-13	3.3148348942e-02	6.3485183458e-03
5.4184908500e+00	3.1306278710e-03	5.4329474374e-03	3.7202218003e-13	3.2862138123e-02	6.0328963007e-03
5.4513529881e+00	3.2193216524e-03	5.1432165067e-03	3.5284544853e-13	3.2582814359e-02	5.7257958459e-03
5.4839358025e+00	3.2942676804e-03	4.8622860767e-03	3.3428600742e-13	3.2309108402e-02	5.4273464862e-03
5.5162449109e+00	3.3564443423e-03	4.5901909678e-03	3.1633515810e-13	3.2039872375e-02	5.1376431508e-03
5.5482847832e+00	3.4067732813e-03	4.3269394648e-03	2.9898472890e-13	3.1774053192e-02	4.8567490432e-03
5.5800588364e+00	3.4461236310e-03	4.0725156599e-03	2.8222673103e-13	3.1510670988e-02	4.5846983089e-03
5.6115695074e+00	3.4753157153e-03	3.8268816504e-03	2.6605316111e-13	3.1248800412e-02	4.3214985475e-03
5.6428183078e+00	3.4951243184e-03	3.5899796009e-03	2.5045582949e-13	3.0987554893e-02	4.0671331637e-03
5.6738058627e+00	3.5062816027e-03	3.3617336746e-03	2.3542629754e-13	3.0726071852e-02	3.8215635761e-03
5.7045319346e+00	3.5094797389e-03	3.1420518459e-03	2.2095578683e-13	3.0705307792e-02	3.7292792069e-03
5.7352372424e+00	3.5053129001e-03	2.9291773011e-03	2.1541291490e-13	3.0834930129e-02	3.7256903586e-03
